==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,J4x1EMmQjF6WEzXq2tUtzY89x5aMhYz5CzfevcJEpump
Timeframe Awal (UTC),2026-06-06 00:00:12.000 UTC
Timeframe Akhir (UTC),2026-06-06 23:59:38.000 UTC
Total Durasi Timeframe,23.99 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-142.8269 SOL
FINAL CVD USD (Net Delta Inflow),$-8926.71
FINAL CVD TOKENS,-47,011,966.887
CVD Bias / Net Inflow Ratio,-1.75% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,8160.2707 SOL (Buy: 4008.7219 SOL | Sell: 4151.5488 SOL)
Total Volume USD,$509400.39 (Buy: $250236.84 | Sell: $259163.55)
Total Transaksi Buy & Sell,9564 TX (Buy: 4986 [52.1%] | Sell: 4578 [47.9%])
Unique Traders (Wallets),2245 wallets
Top Net Accumulator Wallet,AcWUnDZvetCseGZpSMEyfrx7max539ndXgEbmkxz8RrG (+50.100 SOL) [Tags: gmgn; top_holder]
Top Net Seller Wallet,7vviyaDLNsYSA8vMpDeZkK1LnuiFGvyGMpmFw7Wpwxc2 (-31.541 SOL) [Tags: top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (2628 TX),2628,884.680,935.620,-50.940 SOL
Q2 (2830 TX),2830,912.733,933.899,-21.166 SOL
Q3 (2715 TX),2715,1352.099,1302.081,+50.018 SOL
Q4 (1391 TX),1391,859.211,979.949,-120.738 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
11,2026-06-06 00:01:50.000,"6/6/2026, 7:01:50 AM",BUY,0.0498,-3.3696,3.18,-215.24,0.0498,11037.48,3.18,0.00028798,8WUT6Tf9JvVKQoL49SxfmNDhR9aD84vwYFCgBAQkWwdP,"bundler",2207.13,0.00,540,5d2EmgpDYbE2GsUmR7aQSzXkzx1N4cJ5h3yFth2ycYTbutXwRyYfcZr2xvHx5MR7gPHxgTxpmJh1F1Sdopk1s2eG
12,2026-06-06 00:02:05.000,"6/6/2026, 7:02:05 AM",BUY,0.1193,-3.2503,7.63,-207.62,0.1193,26457.09,7.63,0.00028824,K3EFD7RbowUVZYj1DDDKoGhMKk2cLwHac8oS2WxX1Nz,"",22.56,0.00,8,3p97JrL11insdPr6avrtWMaFRpQpBfT4CWuDBczc2aQyN6qrzFQrZigNtY6GyAq29HFy6ev3NiFeiPkBuVXB36tR
13,2026-06-06 00:02:15.000,"6/6/2026, 7:02:15 AM",SELL,-1.2925,-4.5428,-82.73,-290.35,1.2925,291022.85,82.73,0.00028429,GX4hCjUQHJ25zpKvDH1jnmBUd5XEeuXdw6VVD5i4G8ec,"gmgn",-15.78,0.00,37,2jgqZEiBqejFc5TXEBuHhmPVAWzbCRe2TrK262b7TLVwmfWw6nvQ2WU4Upxbq6L3X5b9t9igW2xUJMUyUcTkQG61
14,2026-06-06 00:02:19.000,"6/6/2026, 7:02:19 AM",BUY,0.0907,-4.4521,5.81,-284.54,0.0907,20252.43,5.81,0.00028680,7JCe3GHwkEr3feHgtLXnmuJ1yB3A7coSeyynxTBgdG8k,"bundler",-211.76,0.00,1093,3tqzkhp1FM3yhFUe42Q9ee1GCmBEtQMJ4BJteFbMgBBicSctBDdaWyYE6LNRU9GPSe8BbQpPQDWxFbPze7VcSGrx
15,2026-06-06 00:02:20.000,"6/6/2026, 7:02:20 AM",BUY,0.3035,-4.1486,19.42,-265.12,0.3035,67657.93,19.42,0.00028706,Fgej4SPuW282TdrQRfizRHAeRasNqCtAWZizL3jDqMdS,"bluechip_owner; bundler",-3543.21,0.00,672,3dzCEa6S1xxYX4r3cjt8JuAY86mhdjsLFQgQXJDyJhXM2K8hN5MRVyvWGbGnD9gZ9fpfp3apzeJo7Z3PikyBoVm9
16,2026-06-06 00:02:33.000,"6/6/2026, 7:02:33 AM",SELL,-0.0017,-4.1503,-0.11,-265.23,0.0017,376.59,0.11,0.00029020,6w4V4YR6HXusePf3xgAwfMgewiMsKYrEuaxZPXANeC1D,"",-1.81,0.00,7,3Mi3v1ughoyN87uRErU529gsHMdypetzu4nh3owmxpZ4FiewGqHzYVRcVmekX5notPkJ8RMKDQkoBtiTerfKGWkz
17,2026-06-06 00:02:59.000,"6/6/2026, 7:02:59 AM",BUY,0.0021,-4.1482,0.13,-265.09,0.0021,467.62,0.13,0.00028713,266WEJrowjaiNLN7Z5gr5Gdd17xCcy1D8VRzyHGSFy6c,"",-13.89,0.00,155,2oMx6na6rEnXBkkEM4cGZCNHVSLRYmYMJqzGnkrN3tG9PA6TwbyiPvHT4B6JRZw8umA9gWWY4nm1XGBgSsipZfmi
18,2026-06-06 00:03:31.000,"6/6/2026, 7:03:31 AM",BUY,0.1129,-4.0353,7.23,-257.87,0.1129,25169.85,7.23,0.00028721,6SckxkNGVq8345g14FJLvDiQz6cMnQfJPzMB4sKLYPjq,"",-9.51,0.00,51,3XVbK57dUu7WPNnxVs9ZBXvCXNGVfrXbobq6pd9EnSWX3Ugn1Qt3KtVstqo5F8Qjf3nJQ381fxcwqv4Fdxz2Q5R6
19,2026-06-06 00:03:32.000,"6/6/2026, 7:03:32 AM",BUY,2.8819,-1.1534,184.47,-73.39,2.8819,637270.24,184.47,0.00028947,7aBP9FNFVBoiT4DA4e2Vp5V9GvFyCQuZdfymkC5nWtTS,"paper_hands",307.77,0.00,26,4QxN8hgMB8Ja1rJNaHDavq6fbeHzh97j84dV6cRPw4TXqvfFtfDqaLQvAoMBetfNAssRw5qAvoLSJiwdJnhrcYBc
20,2026-06-06 00:03:35.000,"6/6/2026, 7:03:35 AM",BUY,4.9108,3.7574,314.59,241.19,4.9108,1063723.17,314.59,0.00029574,2eufL4JSHCwMRUnwkvBnhWyQ41RZxw3WfcpnQGznQPZM,"axiom",-751.80,0.00,8,56Rj3uMjXfcZ7iUhRDsTqrth2kUaWTh3W4uYpVtLbAawhmB6HRCGrYkQhfVDyeMaWuh2FGX4gGuNLbcF8vFv2VTy
