==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) & DATA TRANSAKSI GMGN
==========================================================================================
Token Mint Address,H78WENHosTWPFuQvtm8swi83ipTqANJi921iG51Apump
Timeframe Awal (UTC),2026-08-02 00:04:10.000 UTC
Timeframe Akhir (UTC),2026-08-02 20:08:09.000 UTC
Total Durasi Timeframe,20.07 Jam (1204 Menit)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta),-1.5251 SOL
FINAL CVD USD (Net Delta),$-110.74
FINAL CVD TOKENS,-11,048,301.019
CVD Bias / Net Inflow Ratio,-0.49% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,312.8858 SOL (Buy: 155.6804 SOL | Sell: 157.2055 SOL)
Total Volume USD,$22898.64 (Buy: $11393.95 | Sell: $11504.69)
Total Transaksi,539 TX (Buy: 271 [50.3%] | Sell: 268 [49.7%])
Unique Traders (Wallets),173 wallets
Top Net Accumulator Wallet,7iVCXQn4u6tiTEfNVqbWSEsRdEi69E9oYsSMiepuECwi (+5.702 SOL) [Tags: bluechip_owner; bundler]
Top Net Seller Wallet,8bgSHMMaECRgarEjr6GUgkLp12KmpkrAy3zNZaDihYsq (-10.765 SOL) [Tags: trojan; top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (175 TX),175,52.197,38.038,+14.160 SOL
Q2 (49 TX),49,5.044,12.362,-7.318 SOL
Q3 (214 TX),214,73.058,80.628,-7.570 SOL
Q4 (101 TX),101,25.381,26.178,-0.796 SOL

==========================================================================================
📋 DETAIL TRANSAKSI KRONOLOGIS (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
11,2026-08-02 00:53:04.000,"02/08/2026, 07:53:04",SELL,-0.3379,-0.6125,-24.34,-44.14,0.3379,977340.96,24.34,0.00002490,DEDvUrpRQKm7LnCi5s6zkRFusd5E7Zr7JN5mhKPwK69G,"bundler",-219.87,1584773.75,35,38Jv2ChMowWot5mvjC4DtAAdsEPhmiEH8FYUSfqSQo4FQ7uRiyVAGsJ4n7d4viwF2p3dsncxx5MGnihqTh2hb9wz
12,2026-08-02 00:59:57.000,"02/08/2026, 07:59:57",SELL,-0.1052,-0.7177,-7.59,-51.73,0.1052,305722.04,7.59,0.00002482,AvjUDX27kcfAzjG8q7gohp9mS3YtTtPq6CakrWDtqTgT,"",-222.79,0.00,2,3LBJehgNdY8jPThsr44AiLgc7ZHVJZfxJ6Qrmn735QXd7NHnAu2nqxMU9xSrKPqg35qUuo17kJZeMo6oGr55KUTA
13,2026-08-02 01:00:27.000,"02/08/2026, 08:00:27",SELL,-0.3531,-1.0708,-25.47,-77.19,0.3531,1030582.93,25.47,0.00002471,996RBNV4jsV2E2BoJ3V1frCXfcZa3fCPPLGwh5EjWfFm,"fresh_wallet",-151.46,0.00,114,5SQXLUE4grHQryszYvkVURuyTXowHrAoho54nzsg9Ypooq7kmcjX7PKC7Rbf6aFzxUj67F5qCXu1mvSYtQYnZ9R6
14,2026-08-02 01:01:05.000,"02/08/2026, 08:01:05",SELL,-0.1756,-1.2464,-12.67,-89.86,0.1756,515291.46,12.67,0.00002458,996RBNV4jsV2E2BoJ3V1frCXfcZa3fCPPLGwh5EjWfFm,"fresh_wallet",-151.46,0.00,114,u2YxnoTCaoJZeyvkJdQk7UhWfQqyaoWzSGCT6UpK2jt5LWhBeQtMUJUjbtZKGZD1SzEvqgXUuADqwpZR9wUkz4f
15,2026-08-02 01:01:42.000,"02/08/2026, 08:01:42",BUY,0.9780,-0.2685,70.53,-19.33,0.9780,2810842.32,70.53,0.00002509,6kzsXq32zgmW1cEw9xKn9HyfE72oUX9b8PiPBZ8fWn9S,"photon",110.93,0.00,10,4vBi1kbba6P71xqG2LvatCurbjJY1dtsEcrhQbKxFnam1EyczenBVgthVQ8P26VC9axRL5V9cmrU26p12njRoJTF
16,2026-08-02 01:07:45.000,"02/08/2026, 08:07:45",BUY,1.2470,0.9786,90.25,70.92,1.2470,3507282.24,90.25,0.00002573,D3udAgCi9AkBoqCoti7bbPGdptkmF6Fc5hFfpv9aU4GK,"fomo",-7.93,0.00,2,vnMhJgpjwWMUwhEEZJpwEgyUHzAuHeebjEqeHAQMiZibAZVD9QN8SZ935Ry6aRrct9AmergoPvuyVz75ismwtF1
17,2026-08-02 01:08:14.000,"02/08/2026, 08:08:14",BUY,0.6152,1.5937,44.50,115.42,0.6152,1697057.18,44.50,0.00002622,3XZefEdBXzPmENBTVjoBJaYWVaXMvUF4THKdN5ox5kz8,"paper_hands; bundler",138.81,0.00,816,5KwtphV4d3yYZKkXtq39v6daU7shPr2PXFjFaEQDY7ukHbvfNo77iPu6HoRBKLCPn66QsrAJrq7UXDx1ffMPrjvN
18,2026-08-02 01:08:28.000,"02/08/2026, 08:08:28",SELL,-1.0050,0.5888,-72.70,42.72,1.0050,2818974.66,72.70,0.00002579,9yrRsU4vpdo9C8qnMSmTuzaT6MJpfx6ES4iTh7nGx8J4,"fresh_wallet; gmgn",102.64,0.00,12,5mC8gPRTugmnF8K4WyygfZLnYsnUFvRCqb3FdEWtN1RNtAUisxa6Dq3MiTNF5ospfwVEJAPeWnQc8jSMLMDsv6XZ
19,2026-08-02 01:10:09.000,"02/08/2026, 08:10:09",SELL,-0.1816,0.4072,-13.14,29.58,0.1816,515291.46,13.14,0.00002550,996RBNV4jsV2E2BoJ3V1frCXfcZa3fCPPLGwh5EjWfFm,"fresh_wallet",-151.46,0.00,114,TUW5KuSkwe8c9z4UZqssvSRRd8YNPPRJJhMy5NW18eoUzt2sqUUUyFVgrGFrfv14bywCzyhDhYs4Uoeo8mu8csv
20,2026-08-02 01:18:13.000,"02/08/2026, 08:18:13",SELL,-0.4675,-0.0603,-33.90,-4.32,0.4675,1335053.44,33.90,0.00002539,Bnx5CqzYsJ1CwG3qfMjd1Xv4TDihfwdYpaGKf8ZUch5Y,"",11.37,0.00,12,4uN6MfH7yZ9NSmAf2H1jx8yGs2tz3A45B27YdsjCeMTKxYZkGcsKjXMBwN7SZJJYnC6r6LKFobbxxbQymPujwnRo
