==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,H78WENHosTWPFuQvtm8swi83ipTqANJi921iG51Apump
Timeframe Awal (UTC),2026-08-01 00:00:55.000 UTC
Timeframe Akhir (UTC),2026-08-01 23:59:28.000 UTC
Total Durasi Timeframe,23.98 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-44.1587 SOL
FINAL CVD USD (Net Delta Inflow),$-3203.50
FINAL CVD TOKENS,-90,432,067.078
CVD Bias / Net Inflow Ratio,-3.58% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,1233.4882 SOL (Buy: 594.6647 SOL | Sell: 638.8234 SOL)
Total Volume USD,$89590.88 (Buy: $43193.69 | Sell: $46397.19)
Total Transaksi Buy & Sell,2584 TX (Buy: 1154 [44.7%] | Sell: 1430 [55.3%])
Unique Traders (Wallets),714 wallets
Top Net Accumulator Wallet,FGvGUQjZb1gGkmEjBf3SvTfoyokWxwBCSk8NTYt5KrFx (+13.454 SOL) [Tags: fresh_wallet; fomo; top_holder]
Top Net Seller Wallet,AiFpCzsDCXg5hnSUXkfYFmPBivnqfxgRjPE3Rr3Hr5Bu (-22.133 SOL) [Tags: top_holder]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (1118 TX),1118,154.599,191.236,-36.637 SOL
Q2 (613 TX),613,134.860,122.462,+12.398 SOL
Q3 (486 TX),486,176.976,182.763,-5.787 SOL
Q4 (367 TX),367,128.230,142.362,-14.133 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
11,2026-08-01 00:05:47.000,"8/1/2026, 7:05:47 AM",SELL,-0.0434,-0.7021,-3.17,-51.26,0.0434,41810.21,3.17,0.00007571,hnu5iBK8UoHb51UFsH1RYTUAYdrhjHvV5YMTf9T1CYN,"bundler",-678.54,0.00,1271,21AxSpvgprEybWDkYUrDoiHkbDpDKUPdrjd3iZXMaKdWZxcdLeX7sZNADoSGGHZe46PH4fPxRwhQVKZUb6QDUBEK
12,2026-08-01 00:06:05.000,"8/1/2026, 7:06:05 AM",SELL,-0.0391,-0.7412,-2.85,-54.10,0.0391,37636.38,2.85,0.00007568,FYX5JQ2kP7TD8gWb9WP1tjmwWWUAzi8edEZTr5Z8F1ck,"bundler",621.41,0.00,2278,zyYpr3fKxfq5RK8PV21BHXnKJJLtj9H3Jh6zJrmYAXU2vPufWT7pnQA35k1i3bNTCbnRj5p2Ffx7tA4xYDB562K
13,2026-08-01 00:06:34.000,"8/1/2026, 7:06:34 AM",BUY,0.9852,0.2440,71.84,17.73,0.9852,931033.17,71.84,0.00007716,3ucPXGoG3zSd59Evs8cWa5RJNf63MkLBDGixY2UEZxvZ,"top_holder",-1067.61,0.00,51,38JmNJS2fcNQpH6oHkVSFKC7GKRcyMR3RPJojTnYnNng3vRLfuXT3j8k7jwZbKXFKe6joDEdaCVkibLtrNoDvw9Y
14,2026-08-01 00:07:14.000,"8/1/2026, 7:07:14 AM",BUY,0.0990,0.3430,7.22,24.95,0.0990,92997.46,7.22,0.00007765,6uwFL838cfwYvDQuAPxwHafjbiVY652bjgoDnM1qkjhF,"paper_hands",42.20,0.00,47,3b3kb4hzh8BVAUPr3Xd4mkF4hjXXeqhqvmwoSMh8R24cTtxuaBVYUx9FjH33FEGurDDQStawXWGpBNjwsaCZkiFy
15,2026-08-01 00:07:23.000,"8/1/2026, 7:07:23 AM",SELL,-0.0282,0.3147,-2.06,22.90,0.0282,26888.62,2.06,0.00007658,BogSWzaaMg5vL4jTstUV7SCWupnFffTAKQQCfCGok3Y1,"fomo",-2.69,190.37,5,3v7JvWbyj4SFd5ZJRL8YzWyaZBdHMMKD71Xn22CPTK5XW5g1rsGuhLxvxWL6ZyaVd71BDExPU2Gr7H3FfzwfxRSA
16,2026-08-01 00:07:34.000,"8/1/2026, 7:07:34 AM",SELL,-0.3715,-0.0567,-27.09,-4.20,0.3715,354527.39,27.09,0.00007642,DZcyYa9aPRFnbkDPn3HYvfpiRH9GBz3EjTB5fLjk8Vge,"",27.06,0.00,26,vNENJiNxWSuex6KsiGFegxVj26R3iqTAxcScSQN75e5fnvqpSrSKXazLCKy8KvX2Jv4bo39cir5jC5eazHVUVQq
17,2026-08-01 00:07:35.000,"8/1/2026, 7:07:35 AM",BUY,0.0513,-0.0054,3.74,-0.45,0.0513,48729.44,3.74,0.00007682,GU1d1shYZtzqTn8yBRTzUtXRwdfPxoMsjw5VAJMUwjk4,"bluechip_owner",20.35,0.00,25,xSrCp4hE3EbUH1pDaqHix2qZWjMKpJWWAjphDkE2K3taJk8eJ4khPrEMHhhZXTihAgYxs5m4P1bEtesLT6SYLHx
18,2026-08-01 00:07:36.000,"8/1/2026, 7:07:36 AM",SELL,-0.0447,-0.0501,-3.26,-3.71,0.0447,42741.72,3.26,0.00007627,D63cSq9AUJer9boqKZ5sWZson7gsP7CKutRgJCkrZJg5,"axiom",8.83,0.00,24,eV6pg5cA8QJisvyMBVGZWW2mMx9v2FjuZind9PyYMufVGuGdZw8DkAdu4VNxCRHz5RK4ybQUopuLzc2ZgYwyyuY
19,2026-08-01 00:07:36.000,"8/1/2026, 7:07:36 AM",SELL,-0.0115,-0.0616,-0.84,-4.55,0.0115,10967.88,0.84,0.00007630,93mHHYnW8JtSvxkj5nx6x3knNE9E6Qir9yQVPjXqBYU,"",1.07,0.00,26,4fkey6Appbp2bE533T4Ag7ebEG5ChteJ8JMiFcXfnifAZjT7t5qrpThD5AcneDWb48pAUjMnWLZMDt2JxcUTeMfU
20,2026-08-01 00:07:43.000,"8/1/2026, 7:07:43 AM",SELL,-0.0087,-0.0703,-0.63,-5.18,0.0087,8301.33,0.63,0.00007625,CdeT4gc7dT5JVpVszWioFbugqS2E5SbmbZHDWiRjyvam,"",-0.67,0.00,34,2TZwVCFwooUTa2V9BEcPpbEsjTHHZdWHaoRKMaLeNXJzNNsRy5zBunKRyjRsY2SL139vKoHsYPvDezYnaJJVNod8
