==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) - HANYA BUY & SELL
==========================================================================================
Token Mint Address,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump
Timeframe Awal (UTC),2026-06-25 00:02:12.000 UTC
Timeframe Akhir (UTC),2026-06-25 23:59:03.000 UTC
Total Durasi Timeframe,23.95 Jam (1.00 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-692.7397 SOL
FINAL CVD USD (Net Delta Inflow),$-3129.63
FINAL CVD TOKENS,-17,903,301.211
CVD Bias / Net Inflow Ratio,-13.25% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,5229.5126 SOL (Buy: 2268.3865 SOL | Sell: 2961.1262 SOL)
Total Volume USD,$82937.24 (Buy: $39903.80 | Sell: $43033.43)
Total Transaksi Buy & Sell,1813 TX (Buy: 994 [54.8%] | Sell: 819 [45.2%])
Unique Traders (Wallets),1180 wallets
Top Net Accumulator Wallet,HxjwdF326ZunmUwC1iXhfgL3ku78YsksN6n7Rfxzwr6b (+811.420 SOL) [Tags: sandwich_bot; bluechip_owner]
Top Net Seller Wallet,HvFdDWS3RqymRAVx1ZdoL2RjiC38r5dtt19Z8op5jqDK (-1385.948 SOL) [Tags: sandwich_bot; bluechip_owner]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (111 TX),111,1759.655,77.661,+1681.994 SOL
Q2 (256 TX),256,114.609,2459.931,-2345.322 SOL
Q3 (133 TX),133,86.658,61.508,+25.150 SOL
Q4 (1313 TX),1313,307.464,362.026,-54.561 SOL

==========================================================================================
📋 DETAIL TRANSAKSI BUY & SELL (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
11,2026-06-25 00:14:00.000,"6/25/2026, 7:14:00 AM",SELL,-1.9385,-4.2170,-132.07,-287.28,1.9385,664576.41,132.07,0.00019873,aCWpr6VjkY6oNsFn7C9XzMZKfV78xMAHtjxgDiZByH4,"",1616.00,5.33,144,fLbuziYZ3rjkJo9dCxEvRdbwwKGfKeJ2L1D5yTDCo8X6H8jK3xi92zSjpyFgDEEe6h8aApS1dPjNcFHAheW1V41
12,2026-06-25 00:14:01.000,"6/25/2026, 7:14:01 AM",SELL,-1.5741,-5.7911,-107.24,-394.52,1.5741,546640.80,107.24,0.00019618,BrJH44GpEcfkM39NuEsZhvz5d8a2JkTJMYAG268Lb1Pq,"",2386.45,0.00,8,5vHh8rK9kqP2pVkc8pusysW5cHrKT6PAT3iDrXHc9xCZUMnWSztFHFqWaKyxCwrDQwc4GV1DVSQcdDsf82pZgkDH
13,2026-06-25 00:14:02.000,"6/25/2026, 7:14:02 AM",BUY,0.1265,-5.6646,8.62,-385.91,0.1265,43113.71,8.62,0.00019989,FDAN7cvJ8ZJJTR9ypKseEyEeCYp1hMP44x66wqCLiyQx,"",2.64,0.00,46,61twfoDz9YNXM1Erw9qW5F9ZtG7HPRvWr9asP3ap9usHQtpfgJwNnU3p3em5TmqdGvoSh9p9RUciU2WSEJfpKDqr
14,2026-06-25 00:14:02.000,"6/25/2026, 7:14:02 AM",BUY,0.2964,-5.3681,20.20,-365.71,0.2964,101204.41,20.20,0.00019956,EDTm6vomTSaFJD5nsY55XchmeaXGtJfXgEEdCXMidyoL,"bundler",44.71,0.00,131,JDKpJt7YNRfsenxhhodscdAvN9gqDeJMMzUvKLEsmAyRaZvGQKEfUFCHQFNu7xT8vURpKfbnrNS6yjXEr1BGDH5
15,2026-06-25 00:14:02.000,"6/25/2026, 7:14:02 AM",BUY,0.1071,-5.2610,7.30,-358.41,0.1071,36631.85,7.30,0.00019926,A49D32h2YrroiqV2cZKi3JiUmjpHNL4PeMipwxZCSb77,"bundler",31.27,1.76,128,4kkjjBxAwvuFQv7FLfGajyE7BmaSp5MZ44pisfFBQHETHY7hCruN2ThUDPN1hKGYpBi2hrG4pgcaHY4KkaBAWDFP
16,2026-06-25 00:14:02.000,"6/25/2026, 7:14:02 AM",BUY,0.1251,-5.1360,8.52,-349.89,0.1251,42809.59,8.52,0.00019902,ATDqZZCNDYKHtEzhhJhVXzfeEm3k8P2ndbLY6xXkzJYi,"bundler",41.06,1.87,130,5G2dhs2tDxsukm9kmjN3PoUrPWMo9Nu5oCzTxzVtVD77BbtADndv9WYz3SoUoCY1nERVJXZQ65fiovr96NHC2ucn
17,2026-06-25 00:14:02.000,"6/25/2026, 7:14:02 AM",BUY,0.2951,-4.8408,20.11,-329.78,0.2951,101204.41,20.11,0.00019869,CuTgJYbTjfYiMBM6y3zKXoiwWDHUn1PSyaP855W2v4Ky,"paper_hands; bundler",53.68,1.16,118,4uHbdKaPqjVBnqeMpS9qEoXQEPdetaXoC3yMR6339By5ZbvdP3tGSHkzC23Thde3ucabcJr1eVchYxezJziQet23
18,2026-06-25 00:14:02.000,"6/25/2026, 7:14:02 AM",BUY,0.4901,-4.3507,33.39,-296.39,0.4901,168550.47,33.39,0.00019811,DcfdE6XWgmg91iCihsNNAYcGvUPDVU1weVxuYCDyWKNF,"",67.66,0.00,50,3KQUn66gcazGX1AVdGSTAYjxEywkqqVVNfBbZrPtt7YVLZJV3fNFXFnTmD9VkruE8x69jTvGGP4hQzEUtcfJAYhf
19,2026-06-25 00:14:08.000,"6/25/2026, 7:14:08 AM",SELL,-0.3515,-4.7022,-23.95,-320.34,0.3515,121493.36,23.95,0.00019713,K7gAvpj7pmqXTG8zgpGffrfv34ufV17Nu3LmBQYnnBP,"",-84.93,0.00,13,3E71am6dPkJVAtuQRUfKmpEZsGee76h9kY7opBxXF7CEw2qkVPUMQWvozvWvCUHsQJhSRe9piu4oHs5oUx69vHGt
20,2026-06-25 00:17:18.000,"6/25/2026, 7:17:18 AM",SELL,-0.4816,-5.1838,-32.80,-353.15,0.4816,166957.88,32.80,0.00019648,GKch3c5c6tWZi2KgRsevqebjVxHottQjU3so2ySBgVct,"",57.94,14.26,64,qDfRmscUhMYJcJFGds4SEQ69e677YpZh3Cehov9p67HZbVSgMPD5hQ6pM7SPVvr1RM4wmtS6eEkwj949TGKvHVk
21,2026-06-25 00:19:11.000,"6/25/2026, 7:19:11 AM",SELL,-0.2524,-5.4362,-17.16,-370.31,0.2524,87748.00,17.16,0.00019560,cU99M6g9icp8WR2bSVtBR4Uy9UKwVRMYx8D3hn52BXJ,"",2882.62,0.00,39,2ssEkN2WHHJ5Hrs3n1mrBFznicK6i5shjAxDThUEm7nSXK7KumpYunMApr4eVJ3h9E3xCC8yAt8QtnXM8kZ36tWg
22,2026-06-25 00:31:12.000,"6/25/2026, 7:31:12 AM",BUY,4.6768,-0.7594,317.56,-52.75,4.6768,1578685.39,317.56,0.00020115,8gaz4EbyvVREk5gQV99w8crsYJ4ZgJN9DGKeVBR5DDac,"",3072.60,0.00,17,25oz5y1NKLbwB3DhyFHhGDM5E8K9HsPHcKmFQkD1pm1Bo435Gi5dJ8Co3zGVn1zv4urc1CCKQY88JzhdZwHRrERb
23,2026-06-25 00:42:04.000,"6/25/2026, 7:42:04 AM",SELL,-0.2993,-1.0587,-20.31,-73.06,0.2993,100733.90,20.31,0.00020158,6q5BhqD3WVQAGxi4b5bAtLdfv4TKCH2W26Cxi2y9yBRb,"",-223.74,0.00,20,3VRd6TPpMw2t6dNL1usBEYHJZJYQRzVWvYwaBjhK1EJXXfPVTiJQetKp9ABeP15914bJHq6iUZphRzgEV2HqHER6
24,2026-06-25 00:49:03.000,"6/25/2026, 7:49:03 AM",SELL,-0.1542,-1.2129,-10.45,-83.51,0.1542,44563.65,10.45,0.00023448,HxjwdF326ZunmUwC1iXhfgL3ku78YsksN6n7Rfxzwr6b,"sandwich_bot; bluechip_owner",37187.51,1192.82,4835,33RLaZARBvN9UDhBYk3GVqwMzRUdxYmdfJVwVpbDU6N36LFQX9gH4PeShRLdcPymzgBPSpA96K3nVRigHUoPHRw6
25,2026-06-25 00:49:03.000,"6/25/2026, 7:49:03 AM",BUY,827.4533,826.2404,9.74,-73.77,827.4533,44563.65,9.74,0.00021863,HxjwdF326ZunmUwC1iXhfgL3ku78YsksN6n7Rfxzwr6b,"sandwich_bot; bluechip_owner",37187.51,1192.82,4835,33RLaZARBvN9UDhBYk3GVqwMzRUdxYmdfJVwVpbDU6N36LFQX9gH4PeShRLdcPymzgBPSpA96K3nVRigHUoPHRw6
26,2026-06-25 00:49:03.000,"6/25/2026, 7:49:03 AM",SELL,-0.2000,826.0403,-13.55,-87.32,0.2000,57729.56,13.55,0.00023477,MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,"bluechip_owner",571576.73,0.00,51208,3mBTkWdTQJK6WqNxWuMeXwuGuYBEpWtv346Ytepyc7ZRTFkrz1xUmjQUUa1KeZTBWaLDVoYMbGa7C1PN39CNoBdV
27,2026-06-25 00:49:03.000,"6/25/2026, 7:49:03 AM",BUY,12.5774,838.6178,12.58,-74.74,12.5774,57729.56,12.58,0.00021787,MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,"bluechip_owner",571576.73,0.00,51208,3mBTkWdTQJK6WqNxWuMeXwuGuYBEpWtv346Ytepyc7ZRTFkrz1xUmjQUUa1KeZTBWaLDVoYMbGa7C1PN39CNoBdV
