==========================================================================================
📊 REKAPAN ANALISA CVD (CUMULATIVE VOLUME DELTA) & DATA TRANSAKSI GMGN
==========================================================================================
Token Mint Address,DUYw2p3NC6zDdsSrazV4JdDFKtRk2K4mw764EWs2pump
Timeframe Awal (UTC),2026-07-14 17:00:57.000 UTC
Timeframe Akhir (UTC),2026-08-07 02:25:35.000 UTC
Total Durasi Timeframe,561.41 Jam (23.39 Hari)

--- RINGKASAN METRIK CVD UTAMA ---
FINAL CVD SOL (Net Delta Inflow),-51.6625 SOL
FINAL CVD USD (Net Delta Inflow),$-4010.63
FINAL CVD TOKENS,-160,939,852.435
CVD Bias / Net Inflow Ratio,-2.68% (SELL DOMINANT / DISTRIBUTION)
Total Volume SOL,1924.9773 SOL (Buy: 936.6574 SOL | Sell: 988.3199 SOL)
Total Volume USD,$148852.60 (Buy: $72420.99 | Sell: $76431.61)
Total Transaksi,2882 TX (Buy: 1519 [52.7%] | Sell: 1363 [47.3%])
Unique Traders (Wallets),740 wallets
Top Net Accumulator Wallet,7ULAUNC2BbwXG4gocnReDCFadwsZHi5xTCuCjqNG34bx (+20.909 SOL) [Tags: top_holder]
Top Net Seller Wallet,5tEcHoCkRtvUkcJ4ijiJ9b1qfQAU1dosm6166TMn9yWm (-30.632 SOL) [Tags: fomo]

--- MOMENTUM CVD PER KUARTIL WAKTU (Q1 -> Q4) ---
Kuartil Timeframe,Jumlah TX,Buy Volume (SOL),Sell Volume (SOL),Delta SOL (Net Inflow)
Q1 (2832 TX),2832,923.735,977.790,-54.056 SOL
Q2 (0 TX),0,0.000,0.000,+0.000 SOL
Q3 (0 TX),0,0.000,0.000,+0.000 SOL
Q4 (50 TX),50,12.923,10.529,+2.393 SOL

==========================================================================================
📋 DETAIL TRANSAKSI KRONOLOGIS (LENGKAP DENGAN RUNNING CVD SOL & USD)
==========================================================================================
No,Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),Delta SOL (+/-),CVD SOL (Cumulative Sum),Delta USD (+/-),CVD USD (Cumulative Sum),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags (Bundler/Holder/Bot),Realized Profit USD,Current Balance,Total Trades Wallet,Tx Hash
11,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",BUY,0.1411,8.8065,10.90,680.22,0.1411,153601.84,10.90,0.00007094,MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,"bluechip_owner",1485.70,0.00,842,2yBmpJPCTro4iDzaHj5CkEQ9uGAbkLAFQnF1haLNWT9GpmCwEi85sVPuHQ6jFYdVCjhwvTy9KT7U6vXNrtMjcMsH
12,2026-07-14 17:02:07.000,"7/15/2026, 12:02:07 AM",SELL,-0.9872,7.8193,-76.25,603.97,0.9872,897366.09,76.25,0.00008497,Db3jZH5d9AaisML8SoUZy7Ks4enBt5FiF5BiuHu9UukM,"",404.85,0.00,3,sVeNgTrpvRj3Z2xRbRTvhe111Nsvz8Q6USA3oyua85ZKLUh3Tui9YPvVAF235ZhpnRif45jUXh2HVeZ3a5J5Nxr
13,2026-07-14 17:02:08.000,"7/15/2026, 12:02:08 AM",BUY,0.0953,7.9146,7.36,611.33,0.0953,85722.10,7.36,0.00008589,HbnEC9YnYG1Xdf7d45yvZpKsp6nubvY5kfx3nmVXQ1Yq,"",45.25,0.00,78,2xXa5tvQBaCRZUrRT9m2GBi7doHCwL7LaG1BskV5ahpiLZBwphoCMWpv9yajHVg24RKNW9TCmrg3JQqAqE5VueQ3
14,2026-07-14 17:02:08.000,"7/15/2026, 12:02:08 AM",SELL,-1.9574,5.9572,-151.21,460.12,1.9574,1714716.30,151.21,0.00008818,popo3Rj6arKNttyUFpWfbkv2gG8uS13TGtmH6JPMuHz,"paper_hands; bundler",209.77,0.00,48,2gyEuW7cgssPy94EbKMyU6tCVTkjwbdGFGS5RKcQ3UGngN1fNY9qajXo2JMej7VwDPFKcP44MTEzPhaM2VFdPPNx
15,2026-07-14 17:02:09.000,"7/15/2026, 12:02:09 AM",SELL,-1.9097,4.0475,-147.53,312.60,1.9097,1714716.30,147.53,0.00008604,popo3Rj6arKNttyUFpWfbkv2gG8uS13TGtmH6JPMuHz,"paper_hands; bundler",209.77,0.00,48,5u6diQhygnCzuk7nv1LHnMTq2n2CWFh5bU8NzY3UZTKYVbbDB8aEYUaSdH7GWPKR1w7NGUzC8nR2JffJe8LdnfKr
16,2026-07-14 17:02:11.000,"7/15/2026, 12:02:11 AM",BUY,0.3465,4.3940,26.77,339.36,0.3465,309896.64,26.77,0.00008637,3oJZHEZHfuJoHrxJ311rNsnr2a4RyEWK3VHCDwAdwLfH,"",-12.05,0.00,46,4uMQrDd1UKeYUCLPv9VXK24QqdGnghz2dFyY9d22vasB6jz5G7ras248pknV719BNvG4ARz4P48Sj6Ej1h7mi6ns
17,2026-07-14 17:02:12.000,"7/15/2026, 12:02:12 AM",BUY,0.4484,4.8424,34.63,374.00,0.4484,397599.39,34.63,0.00008711,7oruN2p2H12TEkWhBS1uriB7VDRqN9kHmATYk8Zhn4MK,"fresh_wallet; paper_hands; bundler",41.14,0.00,116,3qDJL5j9zb6eKjv8utyzepQgz3B6VJnELSJszuVW62AZqtXH812paEq6CKcADa41LD9P9vZVTDcEc7ucEjq9M2w9
18,2026-07-14 17:02:12.000,"7/15/2026, 12:02:12 AM",BUY,0.2690,5.1115,20.78,394.78,0.2690,239646.36,20.78,0.00008671,7dsm83ByzfCFgfyHmLJ5Dn28spgUK1Xzv9GfYNGE58pd,"fresh_wallet; paper_hands; bundler",-2.63,0.00,134,4g2FYUpWCAzeiaBQRn4pRT8q9k1FBptEYtMAvt9DDtWEH581WE7SEa8AYFbGVFpGNXm6vupynstLcLAyr6pJMB6g
19,2026-07-14 17:02:17.000,"7/15/2026, 12:02:17 AM",BUY,0.2157,5.3272,16.66,411.44,0.2157,188101.24,16.66,0.00008857,6ineTuSW52nwyPkoRDJrrXPdJMQFK3B2irinRia9cTTh,"fresh_wallet; paper_hands; bundler",60.53,0.00,64,4ZDd9h5fBNPYDKBu3DPHeG4r5thvs3Qo6MTabuT6SnDEHAXLytixZaNZjLftMCLRCKNDVpbjcLEeLAZiQ2BEAQRY
20,2026-07-14 17:02:17.000,"7/15/2026, 12:02:17 AM",BUY,0.9891,6.3163,76.41,487.85,0.9891,869166.40,76.41,0.00008791,F22mEUVBkateiQZCfn7G1T6D9V4LCkkgecikRCrf2X8,"paper_hands",102.27,0.00,30,4eGU88jd2yHf8txYkes55Z56CVAzb3Y9L4YN6ZhkVa4g63dc326Tq6RL4NHo7uk96nY3ccEGCxftEmeYf2LVKWZ7
21,2026-07-14 17:02:20.000,"7/15/2026, 12:02:20 AM",SELL,-0.2112,6.1051,-16.31,471.54,0.2112,177681.44,16.31,0.00009181,DY5qAVztKXXPMY9enjbgvJxn6wPPZ1Ek34Jp3xJm4Lct,"paper_hands; bundler",-185.29,0.00,2423,2rKdxYqzwsD6Q8aQD4RxzBcnaEt5eGYVCjVvsWC5wVSBzgmhzCqJdShCQnVtNstP2LVfk8roVndFA3uV4Lq6o3gf
22,2026-07-14 17:02:20.000,"7/15/2026, 12:02:20 AM",BUY,0.2185,6.3236,16.88,488.41,0.2185,190913.65,16.88,0.00008842,2NDgntoAhUEe39MBKVm5UafiQvgeG8mpYqqwGHnz9GS3,"top_holder; bundler",-269.80,0.00,42,4j3oxncYnXmacZnUchHkc8b4qACQ2M8edQpMyPDixU9Fsz6SP4WLKAgbLBVurZcc51uYDkfQzgMqKXkum4JsPMQQ
23,2026-07-14 17:02:24.000,"7/15/2026, 12:02:24 AM",BUY,0.0949,6.4185,7.33,495.74,0.0949,78754.10,7.33,0.00009303,7dt9V3DfKkhzmk8eyCyBFFjaAo2oRpR9w13JLAAs7j5u,"bluechip_owner",67.03,503442.19,121,4sekffLb3NQtkmseCQTf71EZncbfPZEFEy4HgvPSyvxVt37pAGWmz6UGBdLYXV2vZJGuEkvtxJ43PV651vVcosbf
24,2026-07-14 17:03:24.000,"7/15/2026, 12:03:24 AM",SELL,-0.1813,6.2372,-14.01,481.73,0.1813,152728.12,14.01,0.00009174,CU4uATqDbEMt73Be5nLSXNJxomh7HC9YofDKJ6UvYaDD,"",-7.24,0.00,3,31RLnJELJAzJEjewgEryMviiTkJMX9jrqspZ7Hmfhcyeaj1Y5ScMDUedL8eNUKh7yBXciXLjbdj7bmti9mgLXm82
25,2026-07-14 17:03:43.000,"7/15/2026, 12:03:43 AM",BUY,0.1990,6.4362,15.38,497.11,0.1990,166882.62,15.38,0.00009217,7LB1gABW8eQieVfgiyRdTHgANBUYLsfFiFz4vxjB4wD,"paper_hands",172.28,0.00,16,2JH1juNqykdHcvTsjZSfJJKTECFMsNyrtYVs7DjtXqnvu3S9gAXSJRqNX2cy2hi4Q3FeRGdSnTWw9BmkS9a4GyZy
26,2026-07-14 17:03:43.000,"7/15/2026, 12:03:43 AM",SELL,-0.4562,5.9800,-35.26,461.86,0.4562,385816.73,35.26,0.00009138,3UMeXqQT5NKtQoB1FgqmaxbBCGv75DXEpQs4WSeedtim,"fresh_wallet",-122.69,0.00,20,2FkXbm4N3jdTQVLL3YSpCRBaU2jgb6HfuXqRz1gRvH46Bq6m7nEoM1yUGJy5Fv2KVAw2W2nYXQcYxqmHmeYYhMG1
27,2026-07-14 17:03:44.000,"7/15/2026, 12:03:44 AM",SELL,-3.5592,2.4208,-275.05,186.80,3.5592,3017622.95,275.05,0.00009115,13VK7ZrRrx1uZ4Frm2TjacNsbipun21qqifE8wibPVys,"paper_hands; bundler",-78.67,0.00,58,5jVdD2Lc6EeoRwAFzoRviQr7wkwUxZDMHRe5f1JqBWJBPem7RaZim2D2Q1iB8vFUWYC6mdkGqhSPXqasFMMzQbVy
28,2026-07-14 17:03:47.000,"7/15/2026, 12:03:47 AM",BUY,0.7386,3.1594,57.07,243.87,0.7386,628373.54,57.07,0.00009082,3cRWL5yuf38ptb6Z6nYefBmCHzE3SMm4RMkU5z9ByZXx,"paper_hands",16.06,0.00,18,5jEtN1q7zU2rYZAeLey4LpTWpX7NaKQB3dZPNFV1ZqoQv5sxMBZ4hG5C4yix1wubXCSJBxALPWVs4myWEQkxhh3b
29,2026-07-14 17:03:55.000,"7/15/2026, 12:03:55 AM",SELL,-0.6984,2.4610,-53.95,189.92,0.6984,602444.12,53.95,0.00008955,DxaF9fk1ffATwDRBNJWh9LEv2gCFskP1eewb9aGvXaZd,"",-231.83,0.00,3,2w3YhB3WmfY6BfZTyEZCUj1J298xMXLux73zkKRXxDsSyMV62T7CDqT5ETV5xbUpgXUZwS3dkmrGLryGV7ZHUbCF
30,2026-07-14 17:03:58.000,"7/15/2026, 12:03:58 AM",BUY,1.4917,3.9527,115.22,305.14,1.4917,1262654.86,115.22,0.00009125,7LB1gABW8eQieVfgiyRdTHgANBUYLsfFiFz4vxjB4wD,"paper_hands",172.28,0.00,16,7yXS79HwmbywByRQs3xBgpH2vQ5T5DNHLeV1zzSp2euvUGSHyAU1QbpqwhXnfP3E452QomKxjej23CjWjnJndpP
31,2026-07-14 17:05:03.000,"7/15/2026, 12:05:03 AM",SELL,-0.4673,3.4854,-36.10,269.03,0.4673,399141.61,36.10,0.00009045,EVDwzNcNPeK4dv8LNg1RJndMyXanMvNr2e8tSj1CxEGw,"",-46.65,0.00,4,2vVNZ4QX6pETc8HDDFRZ53FQbvvLacjRruzoXSFtRJ74G68DnSuDxmuELxzwYEJCkXCxMTtEYUwj9RsJpJkNC6S5
32,2026-07-14 17:05:44.000,"7/15/2026, 12:05:44 AM",BUY,0.9278,4.4132,71.68,340.72,0.9278,779246.76,71.68,0.00009199,7LB1gABW8eQieVfgiyRdTHgANBUYLsfFiFz4vxjB4wD,"paper_hands",172.28,0.00,16,26zJnAVGXeUbf41xFeCv4hzACwh4VegkzMT42o6XmhrWZVp89oRCTKyvpMszwmfMrodwKwVUkZ8sVyk52cYmJRMK
33,2026-07-14 17:06:55.000,"7/15/2026, 12:06:55 AM",BUY,1.9802,6.3934,152.91,493.63,1.9802,1634590.67,152.91,0.00009355,925yZC5BEDftZGfyZ33keco1zw21q57igBgo9xfiNyvZ,"",-133.44,0.00,7,4HKdHqnDoJx2Dfhdm6Wus4hf7wiP4YgozTAZJiQUNtpNFKgaEv5g59reDQRq9R93QvgbPgTCNM1LPFzEcAo8EMUa
34,2026-07-14 17:08:03.000,"7/15/2026, 12:08:03 AM",SELL,-1.4863,4.9072,-114.75,378.88,1.4863,1241828.42,114.75,0.00009241,1eveYYxZ2mDiAnmCh3fnAbJwjgErzokRA1b6UrRybSM,"",214.40,0.00,142,3dhSTLup8GPquMtb3zWDWfpbjtSptYnG2cnV43QFMSAgCbxeVmhXaLxqRA4mP3CRdHV2PLQYKuPEuDKJbwt5AWDr
35,2026-07-14 17:08:08.000,"7/15/2026, 12:08:08 AM",BUY,0.1473,5.0544,11.36,390.24,0.1473,122326.42,11.36,0.00009290,6JWCyNQGKM1GhmFJZBTkaEw1bigxdiaskNznEEfdVpck,"",11.26,0.00,15,4Pck8BW33n6Rq5PSuNkFf1HPj1mdvPvnbaqkRd7hz1Nsm3dUJn83ssd46PgvnTD7aM2uB5Z9QVswenDdGs3HrkJy
36,2026-07-14 17:08:58.000,"7/15/2026, 12:08:58 AM",BUY,0.5248,5.5792,40.43,430.68,0.5248,434137.94,40.43,0.00009313,9LwcLbFShTy8jbE4gfzuTRUvxQywEA5BngJaSLxLfiPy,"",-1276.13,9115.13,31,3g6jJGTMty7veJcVpCpYYdsFdVeLhhEgz8jcaqdZVXzVcWgrJeKfCPff7AeDHCCEGD9KVepimUR1EfWg4JoaFRbt
37,2026-07-14 17:09:40.000,"7/15/2026, 12:09:40 AM",BUY,0.1911,5.7703,14.73,445.41,0.1911,157517.06,14.73,0.00009354,GpU5B1ikLsKi7uJXmq9bsZaUvYSxoLijYJugEdUrykb,"fresh_wallet",145.40,5877812.42,23,22Szr6G5VWmQfZHs8X7G4r7AX3rQZhPKPn2uNvkkG9KggxkwmKB7aTkWaZSVGPHJt861YwMaZEpS1UPCdkEwvjRh
38,2026-07-14 17:11:40.000,"7/15/2026, 12:11:40 AM",BUY,1.5910,7.3613,122.41,567.82,1.5910,1297524.46,122.41,0.00009434,7LB1gABW8eQieVfgiyRdTHgANBUYLsfFiFz4vxjB4wD,"fresh_wallet; paper_hands",172.28,0.00,16,5wfLZZ2pahvp4MeyMUvtC4JfJEgj84cmEhNZjd3L8NB71ArUrUCnMjU6G8g3jb7nit42ruRJb711t6Em2BpizE2T
39,2026-07-14 17:11:52.000,"7/15/2026, 12:11:52 AM",SELL,-0.2544,7.1069,-19.57,548.24,0.2544,197081.53,19.57,0.00009932,DY5qAVztKXXPMY9enjbgvJxn6wPPZ1Ek34Jp3xJm4Lct,"paper_hands; bundler",-185.29,0.00,2423,4rj3GsqHABNy5cfFfmtcDzb4tUPbgjfjH3c8smET9NGWCc5LRtfaNnbiaz613FnfsXtcm2CCgtAWJUzYyxEaUk4g
40,2026-07-14 17:11:52.000,"7/15/2026, 12:11:52 AM",SELL,-0.1620,6.9449,-12.46,535.78,0.1620,125164.87,12.46,0.00009957,MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,"bluechip_owner",1485.70,0.00,842,3pCt773akJnjJxQUaXwYoQTCbzqy18xrn9hWRLbwznFk4ugKrdi4ogDrETWkAik453P2i1GCdKLMR2XD5aoZ4TDw
41,2026-07-14 17:11:52.000,"7/15/2026, 12:11:52 AM",BUY,0.1543,7.0992,11.87,547.66,0.1543,125164.87,11.87,0.00009487,MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,"bluechip_owner",1485.70,0.00,842,3pCt773akJnjJxQUaXwYoQTCbzqy18xrn9hWRLbwznFk4ugKrdi4ogDrETWkAik453P2i1GCdKLMR2XD5aoZ4TDw
